ClientID,FirmSize,Industry,ContractTenureMonths,ProjectsCompleted,AverageProjectValue,SupportTickets,ClientSatisfactionScore,LastInteractionDays,MonthlyRecurringRevenue,Churn
2763f915-0008-45eb-9d1d-97887786ce50,Large (250+),Healthcare,36,41,77485.81,11,3,325,1419.69,0
bfb87f49-0b9e-4bef-9b49-1eae38ea4448,Medium (50-250),Finance,4,15,79989.31,3,2,222,1712.01,0
788f5dd5-e727-429f-8b2b-754d02531482,Large (250+),Manufacturing,56,6,39961.01,6,1,173,1593.93,0
53422a26-8fde-4cd9-942b-fd4997e7baf6,Enterprise (>1000),Healthcare,63,44,41538.9,13,4,78,17957.78,0
cb7a00b2-635c-4dfe-aa27-a87f2edcb040,Medium (50-250),Healthcare,51,27,59329.53,7,5,213,5613.17,0
20b60ccf-0458-47c0-84e9-e701b47d4103,Enterprise (>1000),Finance,13,0,15979.42,24,4,300,4033.56,1
64319b40-5510-4578-b069-f02108de0a67,Small (<50),Tech,41,46,19480.32,23,1,135,6558.15,0
86796b5a-0b28-4c98-b99e-e49d739e665f,Enterprise (>1000),Healthcare,3,31,6409.95,24,4,239,8160.12,0
9557624a-d77a-45f7-b6e0-6031d96648a7,Small (<50),Manufacturing,19,47,98868.79,24,3,353,10362.77,1
53b9149c-79d4-443b-a7e2-8b88f781f31f,Medium (50-250),Finance,14,8,7722.43,0,5,45,11008.48,0
3632cd42-1103-46cc-9aea-314b672d5fd8,Enterprise (>1000),Healthcare,69,12,30448.65,21,3,21,1961.91,0
12fbb305-0528-41dd-a40b-655c3d81e8c8,Large (250+),Tech,8,30,55906.14,24,4,172,2471.92,0
3e6e04d3-53ed-4e66-af19-f4c540137f93,Large (250+),Retail,33,24,88009.02,0,3,40,1800.59,0
628c7b8c-9521-45af-b9c7-863c87ed9d2a,Large (250+),Manufacturing,46,40,30456.49,16,2,200,12135.25,0
d983278b-123b-426a-b1c5-15e0bf684ccc,Enterprise (>1000),Finance,61,36,31584.41,17,3,310,18549.22,0
b83da091-224e-4854-96e4-a8f8b4a7cc12,Small (<50),Finance,66,38,37814.39,17,2,77,9528.84,0
755e0bc1-c410-42de-96c4-d31fdb4a6180,Large (250+),Retail,4,4,13225.71,1,5,177,18471.0,0
805ceb5e-3635-46db-b068-7512a6b78541,Small (<50),Finance,44,23,32886.43,20,5,19,12650.14,0
2f776566-625a-4efb-8181-45feba3f9fbd,Enterprise (>1000),Retail,6,47,62925.26,10,2,186,5366.67,0
0a819a16-c02d-4db4-b2f4-0381c7823d83,Large (250+),Finance,30,6,69009.38,9,1,101,18770.05,0
731eaeed-cf25-4ca0-9dc7-6afcee29b30c,Medium (50-250),Finance,52,14,81340.3,0,1,91,15163.6,0
359a88b6-c6f4-4d41-929f-99065cad8ae9,Enterprise (>1000),Healthcare,29,1,36997.38,12,5,56,18602.4,0
dda7b941-5364-477d-a6fc-b1ef4d24c45c,Large (250+),Finance,48,29,66684.21,5,2,53,9550.31,0
ce6be93c-1be2-4d55-b56a-c41b1b263d2e,Small (<50),Retail,39,0,93309.99,20,3,344,12746.28,1
e12b175a-ddfa-412e-a770-0dc6b2ae8055,Large (250+),Healthcare,21,32,52059.23,16,1,268,11395.37,0
c8e130c3-0b38-4aa3-961e-a3453c2ef872,Small (<50),Healthcare,66,46,17683.87,8,5,222,12045.45,0
1ad394a7-9ea6-475d-ab46-3b9c112b8dcc,Medium (50-250),Retail,70,37,38982.92,0,4,237,4624.32,0
37a2b1e7-dbd2-4999-96cc-ce97fdad9f59,Medium (50-250),Manufacturing,46,26,13772.3,12,2,183,9494.28,0
8e130e2f-f143-4c7e-bc08-349270b9010f,Large (250+),Manufacturing,61,13,79132.28,24,4,299,10827.12,0
6bf4b41f-5d69-4baf-b559-3eef721644e2,Medium (50-250),Finance,69,20,42618.44,11,4,32,6000.18,0
20c85ddc-688e-4647-a6ef-6ff74265c9f1,Enterprise (>1000),Healthcare,47,39,80005.56,20,2,106,16144.2,0
85e0d584-41ff-46d6-bc2e-a419c4ccbe64,Medium (50-250),Manufacturing,3,16,31889.18,11,2,185,14185.8,0
9aaf1326-4c6d-4990-ac7d-7aead21d48ab,Enterprise (>1000),Tech,29,11,23068.68,16,4,72,11691.61,0
b91cc5fc-bf45-4444-b8fe-b711fec85679,Enterprise (>1000),Finance,45,31,12380.05,13,5,319,14185.93,0
d0dd72a8-afbb-4dab-8c73-f04523f46d5f,Medium (50-250),Tech,13,33,9944.21,2,2,235,19451.05,0
3ea2eb0a-3ee9-4037-9fbe-ab68951c1292,Small (<50),Healthcare,22,5,78421.05,15,5,24,11591.37,0
e9e58b43-5fc5-4394-8930-c059bb8ed244,Enterprise (>1000),Manufacturing,52,28,85190.32,22,2,351,3705.21,1
63d5285f-48a5-434b-9ebb-17836f3bd3c4,Medium (50-250),Healthcare,59,36,24124.0,12,3,340,7875.85,0
10d9660b-c6e8-42dc-b442-f53a1f2122e6,Enterprise (>1000),Manufacturing,52,4,54995.81,18,2,345,6045.2,1
af2e1275-e5f6-4ba1-9874-a2cdaf9ed031,Enterprise (>1000),Manufacturing,15,14,17846.64,22,3,298,17334.27,1
c0f2a3d0-fb9f-44c0-8328-cee0c02caaa9,Small (<50),Manufacturing,61,10,36231.82,15,5,43,3281.77,0
3272eadb-0d09-4b95-9f22-8ece57f9a401,Enterprise (>1000),Finance,66,12,84057.55,4,4,110,17368.57,0
62569c07-1ef7-47f2-9af3-df020236b56e,Enterprise (>1000),Retail,28,46,53009.67,1,3,350,16128.69,0
391596fc-25a8-4f97-8df0-5a7afedce6b3,Small (<50),Healthcare,40,12,58453.3,6,1,52,1532.91,0
25a24c24-3eda-49bb-a717-7b4feaf716ad,Large (250+),Manufacturing,50,17,15220.74,23,5,102,11402.57,0
a81a67e9-df11-40c1-9cec-bec8886785e9,Enterprise (>1000),Healthcare,24,11,81871.94,15,2,193,6563.92,0
8da7006c-dde4-45f6-9288-49b024fb64f4,Small (<50),Manufacturing,10,8,60492.27,1,1,213,18546.08,1
bc3923c8-83c7-44fb-8433-a3541f64edde,Large (250+),Healthcare,28,15,15275.15,10,4,19,11547.96,0
81f411b8-3824-4665-ab13-f2b15b8d4fd4,Large (250+),Healthcare,36,49,95155.47,2,3,32,15331.33,0
a8ddfba3-5fec-4cec-b195-3178d0611a26,Medium (50-250),Finance,37,20,12574.58,5,1,30,8183.72,0
1a548564-0ca8-437a-a3a6-672465ba2ac7,Enterprise (>1000),Healthcare,26,42,72360.21,22,4,190,16510.74,0
ccfc788b-166c-4914-bb8b-8c9848781505,Medium (50-250),Tech,56,34,92395.95,11,1,179,4215.21,0
15e7ee3f-489e-41d6-acbd-3a8605559133,Large (250+),Manufacturing,65,3,85055.57,13,1,276,1886.64,1
0a641abc-e04b-4f76-a922-1fab6b11498e,Medium (50-250),Retail,69,4,94448.61,0,4,45,17919.08,0
298d9f69-32ba-4bc4-bf30-6b3112dd3697,Medium (50-250),Finance,39,38,38175.5,6,3,358,3562.51,0
100973d3-5d4d-41e6-9a3e-59e2e701c9ad,Medium (50-250),Tech,24,41,67969.52,23,3,90,16084.4,0
9b649e35-358c-4c80-b795-64f3d0f4c872,Enterprise (>1000),Tech,25,3,95277.4,22,5,351,2301.29,1
c8385701-9c9b-40d2-b2ec-7235bb1cedb4,Small (<50),Finance,34,4,25878.3,5,4,55,12608.44,0
ade3e930-929a-416f-8453-8563fe168c11,Small (<50),Finance,1,3,90765.29,6,1,140,15804.83,0
0d05a611-6b9c-4dac-8aaf-88dd9d231ee3,Medium (50-250),Tech,38,17,90551.09,24,3,296,15442.61,1
8e17734b-e215-40fb-9f48-06c7a76c47a3,Large (250+),Retail,58,25,41362.71,18,2,311,8657.48,1
1f3989d2-1004-4a72-a257-4d9ae26d2362,Enterprise (>1000),Retail,22,25,26382.23,20,5,62,12228.58,0
e11d4a0b-d2f2-41f6-884a-99ea3e8a44d7,Small (<50),Manufacturing,43,17,75935.71,15,1,257,2339.98,1
2a4d4127-4952-4717-aab8-f230830b668b,Enterprise (>1000),Finance,71,12,39737.15,20,1,337,19976.49,1
aa279979-7041-472a-a811-ec643d6b00e2,Enterprise (>1000),Manufacturing,54,42,99985.61,14,5,339,3261.43,0
a0f0340e-deaa-48d9-aad3-485ff498a8eb,Large (250+),Tech,25,38,20311.04,0,3,240,8116.57,0
fa0fe7b7-8ddf-4ce3-ae89-f37d8b4eab3f,Small (<50),Retail,49,18,40006.62,24,4,212,1273.41,0
6bf45154-021b-438f-8689-cacbef131c65,Large (250+),Finance,26,20,71780.31,0,1,9,14118.59,0
7971aff2-4186-4766-9545-6139b55cafca,Large (250+),Tech,24,23,17937.28,13,4,290,3599.06,1
882053cb-f3e0-4cfa-8fb3-953f494bfb7c,Large (250+),Healthcare,13,45,7325.62,11,4,64,16654.03,0
ddf9ab10-95db-4fdc-a6d8-4ba7f6fedf84,Medium (50-250),Healthcare,45,40,16237.48,16,2,268,1387.1,0
32e51ba9-4f18-4b0c-ac6b-d6bf8c21823c,Enterprise (>1000),Manufacturing,58,2,89144.4,15,4,163,2776.85,0
db231e6a-3db9-4d6e-895d-d729b38609ae,Large (250+),Healthcare,58,40,56121.62,15,5,173,9182.26,0
22af41bb-5fbb-4952-9956-8ac1440c5344,Small (<50),Retail,55,15,61490.42,19,5,285,17433.58,0
00f4b00b-3ca0-4c38-a7b6-48a32cec07e8,Large (250+),Healthcare,2,5,51100.71,3,1,178,17148.98,0
16c27df2-c4aa-4287-b30f-8041d2db5ec7,Medium (50-250),Retail,5,7,15325.16,2,5,93,11204.36,0
9059341a-afbb-4959-b722-067998cf3726,Large (250+),Tech,17,18,16687.69,4,1,281,16305.08,0
1cf86cae-c01e-4b51-8966-18a5afb7bf88,Large (250+),Finance,65,33,86620.71,1,4,2,2395.51,0
9414a6cd-b8a4-44b5-8d9e-21ed0e55b263,Large (250+),Manufacturing,67,41,41729.07,15,3,353,17907.03,0
171da9a9-4da2-408e-b98c-19d440430ea8,Medium (50-250),Finance,12,29,18584.74,0,5,130,8404.65,0
d71c35ec-f862-4d77-ae03-13f8174bfcc7,Small (<50),Finance,63,44,93200.68,23,1,292,5860.25,0
1ee00829-79d9-4e78-aadc-e26fbd0745f3,Enterprise (>1000),Retail,25,27,42971.85,12,2,311,6796.67,0
6d81738c-63df-4243-9e43-0bd84a1c8e80,Small (<50),Retail,15,16,75339.31,22,3,220,18801.96,0
e34b8458-9737-4f38-a6b5-4ea0595d3ede,Medium (50-250),Retail,51,29,94668.97,10,4,32,11521.5,0
0af21bb2-70de-4298-9b89-d83a77efc624,Small (<50),Healthcare,6,0,30751.39,11,3,333,17615.51,1
956b50e4-5501-49b4-af2f-4108560acdd6,Medium (50-250),Tech,28,5,33901.08,12,1,115,7902.59,0
374ea8db-96d5-436b-9afa-4d0f132c822e,Small (<50),Tech,61,48,68256.72,17,2,138,15099.26,0
1a0ea2ba-8db0-4c26-b9e5-7cfab14ee216,Small (<50),Healthcare,9,13,14805.85,20,1,128,2307.88,1
72c15266-4755-4c60-85b4-1e69534cd5a3,Enterprise (>1000),Manufacturing,70,8,93092.03,6,4,301,13314.59,0
07551264-cbce-4ea3-bdc9-e982cdcf9ee4,Enterprise (>1000),Retail,44,33,5615.11,1,4,266,19903.49,0
3f5b9a00-b1dc-47b1-a0bc-f642cad53de9,Enterprise (>1000),Healthcare,2,3,87311.95,24,1,216,7608.34,1
4290bef7-c849-45ea-a003-dd97fc435c98,Medium (50-250),Tech,36,6,39907.19,7,5,144,19441.04,0
94415a5b-0025-4449-8823-668a277c0f60,Enterprise (>1000),Finance,24,11,62110.15,17,3,65,11399.29,0
282d0020-ee85-4cdc-842d-ab9f536f9156,Enterprise (>1000),Manufacturing,37,30,75938.33,3,4,252,8870.65,0
718f8df5-8120-496d-9bae-5b52ac4659c2,Medium (50-250),Finance,53,19,67640.84,17,3,238,4845.35,0
4addae7c-d92e-43fe-90aa-1d50aed3691f,Medium (50-250),Manufacturing,33,11,59757.49,0,4,313,13486.25,0
857adb4b-fb65-4996-8f5e-3f9226bf20b8,Medium (50-250),Manufacturing,9,27,77762.41,13,2,268,2188.55,0
64343daf-77f7-494d-b154-3fd2664d3921,Large (250+),Tech,68,42,67908.61,1,1,278,2986.08,0
c7bf4fde-9f73-433d-9185-69b4ea8dcf14,Small (<50),Tech,50,30,77718.13,21,3,104,6401.76,0
0b76247e-7b99-4cfd-8402-3b49db638e30,Enterprise (>1000),Healthcare,35,32,11462.99,2,2,233,19164.72,0
8ed672f0-c993-4f12-95ff-39ebfbb7e0b8,Large (250+),Tech,13,18,14380.01,15,3,111,7240.43,0
e85b3ecc-8d85-4f1e-a6ae-f790766860e7,Medium (50-250),Finance,63,36,30690.9,20,1,316,18504.57,0
0930fbf9-256a-4656-8ea6-c22b65fc9444,Large (250+),Finance,48,15,18898.79,6,2,52,14234.16,0
67344ad5-84f9-4fa1-a4a6-8dfe6b6fe8f1,Small (<50),Tech,20,40,70889.76,21,4,157,15493.97,0
338a606c-b6ca-457c-b268-982b513b0b48,Small (<50),Finance,37,1,56272.33,24,3,299,5418.94,1
2ba3b985-a86e-4461-a780-513b75fbfcf7,Medium (50-250),Manufacturing,32,14,83914.33,17,1,328,16212.12,1
5d8f1144-85a5-4d13-8011-1ddf8b9232d6,Small (<50),Manufacturing,13,19,95058.94,1,2,150,7277.66,0
8bbc38fc-1a38-44eb-8401-35c5d645d4eb,Enterprise (>1000),Manufacturing,27,49,62627.69,20,3,33,9690.84,0
95286dcd-e0a0-47bc-bebe-821f12dc71e5,Small (<50),Healthcare,20,2,25515.11,9,4,99,10166.63,0
af89ffcf-dbdf-4465-82af-e5a028d0af30,Enterprise (>1000),Finance,60,15,33639.38,19,2,261,15872.02,1
40e613bf-70c7-4b93-962d-9490b9c0b841,Large (250+),Tech,26,25,16678.75,0,5,178,2576.84,0
a97be17a-5b52-4419-978a-e141536169e4,Small (<50),Manufacturing,49,38,50346.43,8,4,196,13620.81,0
a19d8f88-03f5-43c0-ada0-287c893e1aa3,Small (<50),Healthcare,21,38,30761.53,4,4,354,3696.74,0
019c6582-b928-4c29-be97-29bc1d57d2fc,Enterprise (>1000),Tech,50,27,34302.82,17,5,146,8796.08,0
de5fb25d-ce6d-4dd1-8e94-6da1121e424b,Medium (50-250),Finance,69,24,33512.05,2,5,250,3623.36,0
ff380961-b330-4acb-8811-6e0ea03ef8c3,Enterprise (>1000),Healthcare,43,3,50830.88,14,1,263,10340.63,1
8dde3b85-f007-4a82-8e8a-a65c7d553d96,Medium (50-250),Tech,7,17,80108.21,3,5,290,12517.19,0
dc6159b6-e4ff-4fc9-bd87-8dc4b21fc52b,Enterprise (>1000),Finance,64,21,41881.39,24,5,232,10278.79,0
070b748e-c469-441f-9e0c-2cac983a3ff8,Large (250+),Tech,50,31,29877.21,24,2,107,3174.93,0
5faceac1-5120-41f0-9a64-27e91acdacb8,Small (<50),Manufacturing,14,38,19361.59,7,4,204,11769.94,0
c9e97b3e-5045-4d99-9c16-fc2d60c45bfd,Enterprise (>1000),Tech,70,25,60145.07,10,3,45,15757.4,0
9b8d5fc2-e10c-49cf-a9ee-634503921255,Enterprise (>1000),Tech,45,28,61056.4,24,4,126,16688.8,0
08496c10-0968-4db5-9204-aef43b17c0bd,Large (250+),Tech,28,3,97922.29,8,2,263,18918.97,0
0ffe28f2-6618-4a95-9412-28397560a685,Enterprise (>1000),Finance,38,22,59662.09,23,5,117,4874.9,0
2e384b8f-99ef-4bf7-b16e-bfb3fcd5ed36,Small (<50),Finance,15,32,62594.47,12,5,292,10265.98,0
483d1425-d686-4e8d-b201-db8045fd3bdd,Medium (50-250),Retail,49,34,71416.67,11,5,224,10773.34,0
6cb725a7-6034-410d-905d-b1560c649b67,Medium (50-250),Finance,41,30,64083.97,9,4,232,3382.13,0
b8380ed3-e9db-4cd5-aece-4dcd2bcd91fe,Large (250+),Manufacturing,12,6,55319.36,11,3,149,19082.89,0
b2d80e76-1b07-4740-b755-6738edd4a97a,Medium (50-250),Manufacturing,63,10,99562.53,16,2,180,4554.98,0
10313300-2912-4467-82b9-5c4b713dc021,Large (250+),Manufacturing,48,24,56949.47,8,3,331,13171.13,0
