customer_id,tenure_months,avg_monthly_spend,num_products,days_since_last_contact,contract_type,churn,purchase_seq
0,39,155.98,5,20,monthly,1,"14.36727290446208,12.594562759408447,9.89347809885495,12.103495504488494,9.906704325978092,9.901655392494648,11.447068915747643,6.740585287052419,7.151919325958698,9.690798569192145,8.706929691544845,11.604920504964351"
1,28,217.77,4,54,annual,0,"23.592850641849513,25.40227418472099,20.498782210853914,21.646674508346667,22.190935037293105,24.67141771369035,21.165933911294548,21.632063126130202,18.514158572321744,18.386523630342356,25.909151410753672,28.661751255370895"
2,8,265.8,2,53,monthly,1,"21.354270491274487,19.243955775833093,18.175895302066234,17.48576928976672,13.104301105266522,15.927531030216013,16.892099342435557,22.540067910876097,19.884941171454503,12.045537797979701,19.81224907661756,17.173263955654928"
3,1,196.52,1,135,monthly,0,"23.703885394097938,23.31195412292728,16.353294443386808,18.43639546581483,20.953683864898736,23.48593070389584,17.768387371460392,18.92200247066786,15.30343174376042,14.950205502305478,22.845209227814102,24.982191527726446"
4,27,36.45,7,130,quarterly,0,"3.618501395620084,4.7851208312716995,1.7350229324434356,4.243719600323735,3.708066449932492,3.4266624411544835,3.7115023811038848,2.1958308013790067,3.484491897677276,3.9049234513597866,4.721887030198575,3.266836657565735"
5,36,210.86,3,85,annual,0,"18.512176884712606,19.752693878585927,14.834342018904405,20.120933488142818,25.145687382258128,20.20171440636329,17.821732045581008,19.5687720370674,24.139638960722472,20.007418441717174,24.670323545188854,15.55590607627785"
6,57,223.69,7,197,monthly,0,"20.59950370423455,21.075423932960906,24.39530533145979,21.62604017960753,23.33055393036698,13.321544950406068,18.149921793190025,28.64998221224022,22.285969767475237,14.882049884823566,17.570677400416116,17.928337667775303"
7,17,164.66,1,125,monthly,0,"20.229386608219563,18.942118400007296,19.070877942380186,13.471100362175015,21.08551807530219,11.849331833686621,18.398494550144783,23.679424124044417,13.203862982811373,14.600954649330466,16.794041134920363,14.807838697743145"
8,59,257.45,7,146,monthly,1,"17.504436925765805,20.24538734233236,22.52307991679172,18.258137868754527,22.235697783901387,21.169217926753166,18.762743900454584,12.818766020002577,14.317336324387373,20.693174710787932,11.856250323674967,18.450352982415108"
9,1,220.79,1,232,monthly,0,"24.8064485020694,27.453418757135587,23.078308916435702,25.821028167730958,22.851092148646412,16.70565934515654,26.71278365519668,27.93048045922614,25.322481316098724,17.864181441276102,18.76199488274994,17.087304059678438"
10,20,307.45,3,127,monthly,1,"15.625339700730393,18.199728756349078,25.303859068182422,20.49044375140287,26.72734333668179,23.837309268819233,33.291647628052694,21.92534106790293,15.468083730450406,21.37311431897464,17.37658722177445,25.727865159696936"
11,35,199.07,6,5,monthly,1,"13.589173129326594,15.998483022499517,12.674109095149465,16.10079192073873,16.849168153168996,12.98157532721778,11.35421677284686,12.505485382109688,15.914226809139265,14.19287449174058,15.691169074663168,18.84848718295284"
